,Name,Type,THC_Level,Terpene,Relaxed,Happy,Euphoric,Uplifted
1588,Haze Wreck,Sativa,18%,Myrcene,0%,66%,0%,75%
1589,Rainbow Jones,Indica,13%,Limonene,85%,64%,64%,28%
1590,Cherry Moon Pie,Indica,19%,Myrcene,50%,100%,0%,0%
1591,White Queen,Hybrid,16%,Myrcene,42%,53%,73%,38%
1592,Neptune OG,Indica,20%,Myrcene,46%,0%,53%,37%
1593,Valentine X,Hybrid,13%,Myrcene,61%,0%,38%,38%
1594,Cookie Jar,Hybrid,22%,Caryophyllene,55%,44%,55%,33%
1595,Peach Puree,Hybrid,14%,Terpinolene,66%,0%,0%,66%
1596,Sweet Pebbles,Hybrid,21%,Myrcene,55%,44%,33%,0%
1597,The Gift,Hybrid,15%,Limonene,66%,0%,0%,66%
1598,Watermelon Zum Zum,Hybrid,20%,Terpinolene,50%,0%,50%,0%
1599,Hashplant Haze,Sativa,13%,Myrcene,38%,88%,61%,72%
1600,Sour Sorbet,Hybrid,20%,Myrcene,0%,0%,0%,0%
1601,Crypt,Hybrid,16%,Myrcene,87%,62%,62%,37%
1602,Puna Budder,Hybrid,20%,Myrcene,55%,55%,55%,66%
1603,Ghost Ship,Indica,17%,Caryophyllene,85%,50%,57%,21%
1604,Hades OG,Indica,27%,Myrcene,66%,41%,50%,41%
1605,Sweet Jane,Sativa,9%,Myrcene,0%,60%,0%,20%
1606,Skunk 47,Indica,17%,Myrcene,81%,50%,27%,36%
1607,Mountain Girl,Hybrid,17%,Myrcene,50%,70%,30%,60%
1608,Pineapple Thai,Sativa,17%,Myrcene,38%,63%,0%,52%
1609,Middlefork,Hybrid,18%,Myrcene,67%,66%,58%,58%
1610,Tangie Sunrise,Hybrid,16%,Myrcene,83%,66%,33%,66%
1611,Sour Flower,Sativa,20%,Terpinolene,0%,60%,0%,75%
1612,Guard Dawg,Indica,22%,Limonene,66%,44%,0%,0%
1613,Ice Queen,Hybrid,24%,Terpinolene,50%,63%,39%,60%
1614,Lemon Créme,Sativa,19%,Myrcene,0%,50%,0%,0%
1615,Silver Cheese,Hybrid,19%,Caryophyllene,50%,50%,75%,50%
1616,Bubble Cheese,Indica,15%,Myrcene,81%,63%,0%,45%
1617,NY Cheese,Hybrid,21%,Limonene,0%,76%,61%,61%
1618,Blackberry Pie,Hybrid,17%,Caryophyllene,45%,27%,54%,0%
1619,Boysenberry ,Hybrid,17%,Myrcene,0%,38%,42%,42%
1620,Star Tonic,Hybrid,8%,Myrcene,66%,33%,0%,33%
