,Name,Type,THC_Level,Terpene,Relaxed,Happy,Euphoric,Uplifted
1855,Skittlez Mintz,Hybrid,23%,Myrcene,0%,0%,0%,0%
1856,Hollywood Pure Kush,Hybrid,22%,Caryophyllene,0%,0%,0%,0%
1857,White Romulan,Hybrid,20%,Myrcene,71%,56%,48%,30%
1858,Organic Diesel,Hybrid,19%,Caryophyllene,50%,71%,71%,71%
1859,Pepe Le Chem,Hybrid,23%,Myrcene,0%,0%,0%,0%
1860,Grand Doggy Purps,Indica,21%,Terpinolene,70%,55%,42%,40%
1861,Ghetto Bird,Hybrid,15%,Ocimene,0%,100%,0%,100%
1862,Mango Puff,Hybrid,21%,Myrcene,0%,0%,0%,0%
1863,Crimea Blue,Hybrid,17%,Myrcene,50%,50%,0%,41%
1864,Elphinstone,Sativa,19%,Myrcene,0%,80%,60%,80%
1865,Cherry Fire,Hybrid,25%,Myrcene,50%,50%,0%,0%
1866,Cerebro Haze,Sativa,25%,Myrcene,66%,66%,0%,66%
1867,Wreckage,Hybrid,16%,Myrcene,43%,56%,0%,62%
1868,Agape,Sativa,23%,Pinene,66%,66%,0%,66%
1869,Skunk+,Indica,16%,Myrcene,80%,60%,0%,20%
1870,Strawberry Satori,Sativa,20%,Caryophyllene,71%,61%,0%,76%
1871,Alpha Express,Sativa,13%,Terpinolene,40%,0%,0%,80%
1872,Maui Bubble Gift,Hybrid,11%,Limonene,72%,39%,42%,42%
1873,Silver Calyx,Hybrid,18%,Limonene,100%,0%,100%,0%
1874,Rocklock,Indica,18%,Myrcene,61%,50%,38%,35%
1875,Platinum Jelly,Hybrid,12%,Terpinolene,0%,0%,0%,0%
1876,Elderberry,Hybrid,11%,Myrcene,52%,38%,0%,0%
1877,Fruit Rollupz,Hybrid,15%,Myrcene,0%,0%,0%,0%
1878,Frozen Tangerines,Hybrid,16%,Myrcene,0%,0%,0%,0%
1879,Jackpot,Hybrid,17%,Myrcene,0%,0%,0%,0%
1880,Sour Tropicana,Hybrid,19%,Myrcene,0%,0%,0%,0%
1881,J-27,Sativa,19%,Myrcene,0%,48%,44%,51%
1882,Durban,Hybrid,17%,Linalool,0%,0%,0%,0%
1883,Big Wreck,Indica,21%,Limonene,53%,42%,60%,40%
1884,California Hash Plant,Indica,22%,Myrcene,33%,50%,0%,50%
1885,Loopy Fruit,Hybrid,20%,Limonene,66%,66%,0%,33%
1886,Helen Back,Hybrid,24%,Terpinolene,0%,0%,0%,0%
1887,Marshmallow OG,Hybrid,23%,Limonene,0%,0%,0%,0%
1888,Bettie Page,Hybrid,20%,Myrcene,57%,38%,0%,38%
1889,Bright Fire,Indica,21%,Caryophyllene,60%,20%,40%,60%
1890,Sour LSD,Hybrid,17%,Limonene,50%,70%,58%,54%
1891,Purple Snowman,Hybrid,15%,Limonene,0%,0%,0%,0%
1892,Head Trip,Hybrid,17%,Myrcene,61%,61%,27%,44%
1893,Raspberry Tart,Hybrid,20%,Caryophyllene,0%,0%,0%,0%
1894,Pineapple Hash Plant,Hybrid,18%,Terpinolene,100%,100%,100%,100%
1895,Supernatural,Sativa,19%,Myrcene,62%,0%,62%,50%
1896,Anonymous OG,Indica,24%,Terpinolene,100%,42%,57%,0%
1897,Grape Gasoline,Hybrid,15%,Myrcene,0%,0%,0%,0%
1898,G13 Widow,Hybrid,34%,Myrcene,37%,0%,50%,0%
1899,Garlic Mints,Hybrid,25%,Caryophyllene,33%,33%,33%,0%
1900,Watermelon Mimosa,Hybrid,27%,Limonene,0%,0%,0%,0%
1901,Plumberry,Hybrid,16%,Myrcene,0%,0%,0%,0%
1902,Alaska Thunder Grape,Hybrid,18%,Myrcene,100%,0%,100%,100%
1903,Tickle Kush,Hybrid,19%,Myrcene,0%,80%,60%,40%
1904,Sch'Lemon Cake,Hybrid,18%,Pinene,0%,0%,0%,0%
1905,The Mountain,Hybrid,22%,Limonene,0%,0%,0%,0%
1906,White Super Skunk,Hybrid,21%,Myrcene,100%,100%,0%,100%
1907,Loud Lemonade,Hybrid,18%,Myrcene,66%,33%,0%,66%
1908,Newberry,Hybrid,17%,Myrcene,100%,0%,100%,0%
1909,Bleugenius,Hybrid,11%,Myrcene,100%,0%,0%,0%
1910,Blue Tara,Hybrid,18%,Myrcene,100%,100%,100%,100%
1911,Magic Beans OG,Indica,20%,Myrcene,83%,100%,83%,0%
1912,Lemon Stomper,Hybrid,12%,Caryophyllene,0%,0%,0%,0%
1913,Kosher Sorbet,Hybrid,16%,Caryophyllene,0%,0%,0%,0%
1914,Bubba Cake,Hybrid,20%,Myrcene,0%,0%,0%,0%
1915,Purple Tears,Hybrid,14%,Caryophyllene,100%,100%,0%,50%
1916,Sour Puss,Hybrid,19%,Limonene,0%,0%,0%,0%
1917,Super Silver Bullet,Hybrid,17%,Myrcene,0%,0%,0%,0%
1918,OG Tonic,Hybrid,18%,Myrcene,0%,100%,100%,0%
1919,Nepali Pink,Hybrid,14%,Terpinolene,0%,0%,0%,0%
1920,Mendo Afgoo,Indica,15%,Myrcene,66%,50%,33%,16%
1921,Big Bomb,Hybrid,26%,Terpinolene,0%,0%,0%,100%
1922,Ethos Cookies,Hybrid,19%,Caryophyllene,25%,25%,0%,25%
1923,Cherry Slyder,Hybrid,25%,Myrcene,75%,75%,0%,75%
1924,California Gold,Indica,15%,Limonene,100%,100%,100%,50%
1925,Ksmorz,Hybrid,6%,Terpinolene,0%,0%,0%,0%
1926,Cascadia Kush,Indica,19%,Caryophyllene,72%,27%,36%,0%
1927,Cole Train,Hybrid,17%,Limonene,0%,0%,0%,0%
1928,Kushage,Hybrid,21%,Myrcene,0%,50%,46%,53%
1929,Alf,Hybrid,17%,Limonene,50%,100%,0%,0%
1930,Medicine Woman,Hybrid,21%,Terpinolene,55%,50%,55%,55%
1931,Crockett’s Confidential,Hybrid,22%,Myrcene,0%,0%,0%,0%
1932,White Domina,Indica,15%,Caryophyllene,33%,33%,0%,33%
1933,Supergirl,Indica,15%,Caryophyllene,78%,78%,35%,35%
1934,Grape Puff,Hybrid,18%,Limonene,0%,0%,0%,0%
1935,Whitaker Blues,Indica,17%,Caryophyllene,83%,83%,0%,33%
1936,Aloha Grape Stomper,Hybrid,17%,Myrcene,66%,66%,66%,66%
1937,Cotton Candy Cane,Hybrid,16%,Caryophyllene,0%,0%,0%,0%
1938,Space Monster,Indica,18%,Myrcene,0%,0%,0%,0%
1939,Purple Pineapple Express,Hybrid,17%,Myrcene,16%,16%,0%,0%
1940,Tally Mon,Hybrid,21%,Terpinolene,0%,0%,0%,0%
1941,Afghan Sour Kush,Indica,17%,Myrcene,77%,0%,55%,0%
1942,Gummo,Hybrid,17%,Terpinolene,62%,56%,50%,37%
1943,Bubba 76,Hybrid,14%,Caryophyllene,0%,0%,0%,0%
1944,Hawai’i ‘78,Sativa,17%,Terpinolene,50%,50%,50%,50%
1945,Yabba Dabba Diesel,Hybrid,23%,Limonene,0%,0%,0%,0%
1946,Purple Pantera,Hybrid,19%,Myrcene,0%,0%,0%,0%
1947,C3,Hybrid,19%,Caryophyllene,100%,100%,100%,0%
1948,King Thunder Fuck,Hybrid,24%,Myrcene,80%,60%,0%,80%
1949,El Perro,Hybrid,21%,Caryophyllene,57%,42%,42%,28%
1950,Grape Calyx,Hybrid,20%,Myrcene,60%,80%,80%,0%
1951,Oregon Pineapple,Hybrid,23%,Caryophyllene,45%,62%,41%,45%
1952,Alley Cat Kush,Hybrid,25%,Terpinolene,0%,0%,100%,100%
1953,Birds Eye,Sativa,18%,Myrcene,75%,75%,50%,75%
1954,Chocolate Tonic,Hybrid,9%,Pinene,0%,0%,0%,0%
1955,Holy Grail,Hybrid,21%,Myrcene,0%,0%,0%,0%
1956,Sweet Baby Jane,Indica,20%,Myrcene,64%,50%,35%,0%
1957,Bloodhound,Hybrid,17%,Myrcene,41%,75%,0%,50%
1958,White CBG,Hybrid,8%,Caryophyllene,0%,0%,0%,0%
1959,Omega Dawg,Hybrid,18%,Caryophyllene,60%,60%,53%,66%
1960,Velvet Krush,Hybrid,20%,Myrcene,0%,0%,0%,0%
1961,Jim OG,Hybrid,24%,Limonene,0%,0%,0%,0%
1962,Black '84,Indica,19%,Myrcene,70%,45%,37%,0%
1963,Daybreaker,Hybrid,18%,Myrcene,0%,0%,0%,0%
1964,Hawaiian Sunrise,Hybrid,19%,Myrcene,40%,80%,0%,100%
1965,Orange Push Pop,Hybrid,23%,Linalool,0%,0%,0%,0%
1966,Blackberry Hashplant,Indica,25%,Limonene,0%,28%,57%,33%
1967,Gammaberry,Hybrid,17%,Terpinolene,100%,100%,100%,0%
1968,OG's Pearl,Indica,14%,Myrcene,78%,73%,47%,0%
1969,Qleaner,Hybrid,17%,Myrcene,41%,70%,58%,67%
1970,Super Cat Piss,Sativa,13%,Myrcene,0%,60%,80%,80%
1971,D Cure,Hybrid,26%,Myrcene,0%,0%,0%,0%
1972,Mindscape,Hybrid,18%,Myrcene,0%,100%,100%,100%
1973,Arctic Sun,Hybrid,15%,Myrcene,75%,25%,0%,0%
1974,Afghanimal,Indica,20%,Myrcene,100%,0%,0%,0%
1975,Notorious THC,Hybrid,24%,Limonene,0%,0%,0%,0%
1976,Gelateria,Hybrid,19%,Myrcene,0%,0%,0%,0%
1977,Sumo's OG Kush,Indica,22%,Limonene,50%,100%,0%,0%
1978,White Label Rhino,Hybrid,17%,Terpinolene,0%,0%,0%,0%
1979,Cookie Crash,Hybrid,21%,Caryophyllene,0%,0%,0%,0%
1980,Dreamer’s Glass,Hybrid,22%,Terpinolene,36%,0%,54%,45%
1981,Las Vegas Purple Kush BX,Indica,20%,Myrcene,66%,100%,50%,33%
1982,Banana Sundae,Sativa,22%,Myrcene,0%,0%,0%,0%
1983,Trinity Kush,Hybrid,16%,Myrcene,0%,0%,0%,0%
1984,Love Boat,Hybrid,21%,Myrcene,100%,100%,100%,100%
1985,Trifi Cookies,Hybrid,20%,Myrcene,0%,0%,0%,0%
1986,Ancient Kush,Indica,15%,Limonene,50%,0%,0%,0%
1987,Blue Kiss,Hybrid,21%,Limonene,75%,0%,50%,0%
1988,Watermelon Sangria,Hybrid,20%,Limonene,0%,0%,0%,0%
1989,Fire Alien Urkle,Hybrid,25%,Caryophyllene,0%,0%,0%,0%
1990,LA Wedding Pop,Sativa,21%,Terpinolene,0%,0%,0%,0%
1991,Webster,Sativa,20%,Terpinolene,42%,28%,28%,28%
1992,Jack of Spades,Hybrid,15%,Myrcene,33%,66%,0%,33%
1993,Ice Cream Cookies,Indica,22%,Caryophyllene,0%,0%,0%,0%
1994,Blob OG,Hybrid,25%,Limonene,50%,50%,50%,50%
1995,Crazy Miss Hyde,Hybrid,17%,Caryophyllene,50%,57%,64%,64%
1996,Legalized OG,Hybrid,18%,Limonene,86%,60%,0%,53%
1997,Riley Kush,Hybrid,18%,Myrcene,100%,0%,0%,0%
1998,Afrodite,Hybrid,12%,Myrcene,25%,50%,0%,0%
1999,Gello,Hybrid,14%,Caryophyllene,0%,0%,0%,0%
2000,Coyote Art,Hybrid,19%,Myrcene,0%,100%,0%,100%
2001,BBS,Hybrid,18%,Caryophyllene,0%,0%,0%,0%
2002,Panama,Hybrid,17%,Myrcene,0%,0%,0%,0%
2003,La Niña,Sativa,18%,Myrcene,50%,50%,100%,50%
2004,Strawpicanna,Hybrid,24%,Limonene,0%,0%,0%,0%
2005,Strawberry Tree,Hybrid,22%,Myrcene,0%,0%,0%,0%
2006,Shadow Dancer,Hybrid,16%,Myrcene,0%,0%,0%,0%
2007,DG Cookies,Hybrid,20%,Myrcene,0%,0%,0%,0%
2008,White Master,Hybrid,19%,Caryophyllene,0%,0%,100%,0%
2009,Burgundy,Hybrid,19%,Limonene,0%,0%,0%,0%
2010,Cancer's Nightmare,Hybrid,13%,Pinene,100%,0%,0%,100%
2011,LA Jack,Hybrid,22%,Myrcene,50%,0%,75%,0%
2012,Confetti Cake,Hybrid,21%,Limonene,0%,0%,0%,0%
2013,L'Orange,Hybrid,16%,Caryophyllene,0%,0%,0%,0%
2014,WMD,Indica,18%,Myrcene,83%,58%,0%,41%
2015,WSU,Indica,19%,Myrcene,36%,18%,18%,0%
2016,Neroli 91,Hybrid,11%,Limonene,100%,100%,0%,0%
2017,G-Cut,Hybrid,16%,Myrcene,0%,0%,0%,0%
2018,Vanilluna,Hybrid,18%,Caryophyllene,100%,66%,33%,0%
2019,Katana Kush,Hybrid,17%,Myrcene,0%,0%,0%,0%
2020,Pineapple Mayhem,Hybrid,14%,Myrcene,100%,100%,0%,50%
2021,True X,Indica,17%,Myrcene,33%,0%,33%,66%
2022,Platinum Cake,Hybrid,20%,Myrcene,0%,0%,0%,0%
2023,Early Queen,Hybrid,12%,Linalool,0%,0%,0%,0%
2024,Raspberry Parfait,Hybrid,17%,Terpinolene,0%,16%,0%,0%
2025,Fruitylicious,Indica,16%,Pinene,75%,50%,37%,25%
2026,Grandaddy Glue,Hybrid,18%,Myrcene,0%,0%,0%,0%
2027,Bahama Mama,Hybrid,18%,Limonene,33%,33%,0%,0%
2028,Chocolate Oranges,Hybrid,22%,Terpinolene,0%,0%,0%,0%
2029,Sunshine Lime,Hybrid,22%,Limonene,0%,0%,0%,0%
2030,Maraschino,Hybrid,15%,Myrcene,0%,0%,0%,0%
2031,The Don Mega,Hybrid,24%,Myrcene,0%,0%,0%,0%
2032,Sapphire Cherries,Hybrid,22%,Myrcene,100%,100%,100%,100%
2033,CherWillie,Hybrid,19%,Myrcene,0%,100%,0%,50%
2034,Huckleberry Hound,Hybrid,16%,Myrcene,100%,100%,100%,0%
2035,Orange Cake,Hybrid,18%,Myrcene,0%,0%,0%,0%
2036,Magic Bud,Hybrid,11%,Terpinolene,0%,0%,0%,0%
2037,Afghani Krush,Hybrid,16%,Myrcene,0%,100%,0%,100%
2038,All Gas OG,Hybrid,21%,Myrcene,0%,0%,0%,0%
2039,Blessings OG,Hybrid,14%,Pinene,0%,0%,0%,0%
2040,PVC OG,Indica,18%,Limonene,0%,0%,100%,0%
2041,Big White,Indica,23%,Humulene,73%,0%,0%,40%
2042,Ultra Violet,Hybrid,20%,Myrcene,0%,0%,0%,0%
2043,Bandersnatch,Hybrid,27%,Caryophyllene,0%,0%,0%,0%
2044,West Coast Willie,Hybrid,17%,Myrcene,0%,0%,0%,0%
2045,Superb OG,Hybrid,17%,Myrcene,0%,0%,0%,0%
2046,Fire Alien Master,Hybrid,20%,Limonene,0%,0%,0%,0%
2047,Sticky Jack,Hybrid,16%,Myrcene,0%,0%,0%,0%
2048,Otto #1,Hybrid,8%,Caryophyllene,0%,0%,0%,0%
2049,Critical Mass CBD,Hybrid,9%,Myrcene,0%,0%,0%,0%
2050,The Soap,Hybrid,24%,Caryophyllene,0%,0%,0%,0%
2051,Sweet Pea,Hybrid,19%,Myrcene,0%,0%,0%,0%
2052,Light Saber,Hybrid,18%,Myrcene,0%,0%,0%,0%
2053,Mt. Hood,Hybrid,16%,Myrcene,0%,0%,0%,0%
2054,Royal,Hybrid,22%,Limonene,0%,0%,0%,0%
2055,Lemon Ice Pucker,Hybrid,21%,Myrcene,0%,0%,0%,0%
2056,Guerilla Fume,Hybrid,19%,Caryophyllene,0%,0%,0%,0%
2057,Purple Cane,Hybrid,20%,Myrcene,0%,0%,0%,0%
2058,Mind Flayer,Hybrid,23%,Terpinolene,0%,0%,0%,0%
2059,Garlic Glue,Hybrid,19%,Caryophyllene,0%,0%,0%,0%
2060,Money Tree,Hybrid,24%,Terpinolene,0%,0%,0%,0%
2061,OGC S1,Hybrid,20%,Terpinolene,0%,0%,0%,0%
2062,Pruno,Hybrid,9%,Myrcene,0%,0%,0%,0%
2063,Frosties,Hybrid,18%,Myrcene,0%,0%,0%,0%
2064,Palpatine,Hybrid,26%,Myrcene,0%,0%,0%,0%
2065,Grape Octane,Hybrid,23%,Caryophyllene,0%,0%,0%,0%
2066,Frosted Lemons,Hybrid,17%,Caryophyllene,0%,0%,0%,0%
2067,OG Krypt Melon,Hybrid,17%,Caryophyllene,0%,0%,0%,0%
2068,Headmaster Kush,Hybrid,19%,Myrcene,0%,0%,0%,0%
2069,Gelato Mints,Hybrid,11%,Caryophyllene,0%,0%,0%,0%
2070,Highlight5,Hybrid,16%,Caryophyllene,0%,0%,0%,0%
2071,GNO,Hybrid,12%,Limonene,0%,0%,0%,0%
2072,Angel Cakes,Hybrid,18%,Caryophyllene,0%,0%,0%,0%
2073,Bubba Fish,Hybrid,21%,Myrcene,0%,0%,0%,0%
2074,Firehouse,Hybrid,16%,Caryophyllene,0%,0%,0%,0%
2075,Wino,Hybrid,19%,Myrcene,0%,0%,0%,0%
2076,Lucky,Indica,27%,Caryophyllene,0%,0%,0%,0%
2077,French Toast,Hybrid,16%,Myrcene,0%,0%,0%,0%
2078,Durbert,Hybrid,19%,Terpinolene,0%,0%,0%,0%
2079,Dragon Snacks,Hybrid,25%,Myrcene,0%,0%,0%,0%
2080,Dough Boi,Hybrid,24%,Caryophyllene,0%,0%,0%,0%
2081,Tinkerbell's Revenge,Hybrid,19%,Myrcene,0%,0%,0%,0%
2082,Wildberry,Hybrid,13%,Caryophyllene,0%,0%,0%,0%
2083,ACDC Cookies,Hybrid,19%,Caryophyllene,0%,0%,0%,0%
2084,Egoloss,Hybrid,16%,Limonene,0%,0%,0%,0%
2085,Ginger Snap,Hybrid,19%,Limonene,0%,0%,0%,0%
2086,Double Gorilla OG,Hybrid,19%,Pinene,0%,0%,0%,0%
2087,Peppermint Kush,Hybrid,16%,Caryophyllene,0%,0%,0%,0%
2088,Yellow Fruit Stripe,Hybrid,22%,Terpinolene,0%,0%,0%,0%
2089,Shrieker,Hybrid,13%,Limonene,0%,0%,0%,0%
2090,Me Time,Hybrid,11%,Terpinolene,0%,0%,0%,0%
2091,OG Story,Hybrid,18%,Myrcene,0%,0%,0%,0%
2092,Myakka Native,Hybrid,14%,Limonene,0%,0%,0%,0%
2093,Dark Matter,Hybrid,16%,Myrcene,0%,0%,0%,0%
2094,Quantum Hammer,Hybrid,16%,Limonene,0%,0%,0%,0%
2095,LA Soda,Hybrid,12%,Myrcene,0%,0%,0%,0%
2096,Thug Life #4,Hybrid,18%,Limonene,0%,0%,0%,0%
2097,Echo Head,Hybrid,18%,Caryophyllene,0%,0%,0%,0%
2098,Altar Bread,Indica,18%,Myrcene,0%,0%,0%,0%
2099,Apple Sundae,Sativa,17%,Limonene,0%,0%,0%,0%
2100,Amnesia Sour Diesel,Hybrid,14%,Caryophyllene,0%,0%,0%,0%
2101,Candy OG,Hybrid,17%,Myrcene,0%,0%,0%,0%
2102,Black Thunder,Hybrid,14%,Caryophyllene,0%,0%,0%,0%
2103,Vitamin Diesel,Hybrid,21%,Caryophyllene,0%,0%,0%,0%
2104,Seattle Soda,Hybrid,28%,Pinene,0%,0%,0%,0%
2105,Do-Si-Pie,Hybrid,16%,Terpinolene,0%,0%,0%,0%
2106,Candy Margy,Hybrid,7%,Myrcene,0%,0%,0%,0%
2107,818 Headband,Hybrid,19%,Caryophyllene,0%,0%,0%,0%
2108,Zurple Punch,Hybrid,22%,Terpinolene,0%,0%,0%,0%
2109,Sour Mamba,Hybrid,17%,Terpinolene,0%,0%,0%,0%
2110,Voyager #1,Hybrid,27%,Terpinolene,0%,0%,0%,0%
2111,Blue Dragon Desert Frost,Hybrid,18%,Myrcene,0%,0%,0%,0%
2112,Waikiki Queen,Hybrid,21%,Myrcene,0%,0%,0%,0%
2113,PHD,Hybrid,16%,Myrcene,0%,0%,0%,0%
2114,Ultimate Purple,Hybrid,18%,Myrcene,100%,100%,0%,0%
2115,Calm 101,Hybrid,24%,Caryophyllene,0%,0%,0%,0%
2116,Huckleberry Web,Hybrid,13%,Myrcene,0%,0%,0%,0%
2117,Soda,Hybrid,18%,Limonene,0%,0%,0%,0%
2118,Thick Wicket,Hybrid,19%,Myrcene,0%,0%,0%,0%
2119,Sunset Strip,Hybrid,14%,Caryophyllene,0%,0%,0%,0%
2120,Granny Skunk,Hybrid,27%,Terpinolene,0%,0%,0%,0%
2121,Purp5,Hybrid,16%,Myrcene,0%,0%,0%,0%
2122,Cat Lady,Hybrid,15%,Terpinolene,0%,0%,0%,0%
2123,Big Red,Hybrid,18%,Limonene,0%,0%,0%,0%
2124,Teso Cherry,Hybrid,8%,Terpinolene,0%,0%,0%,0%
2125,Rosella,Hybrid,17%,Terpinolene,0%,0%,0%,0%
2126,Monk Juice,Hybrid,22%,Terpinolene,0%,0%,0%,0%
2127,Sox,Hybrid,12%,Myrcene,0%,0%,0%,0%
2128,Blue Apricot,Hybrid,15%,Terpinolene,0%,0%,0%,0%
2129,Monkey Balls,Hybrid,23%,Myrcene,0%,0%,0%,0%
2130,Key Lime Kush,Hybrid,18%,Limonene,0%,0%,0%,0%
2131,Chex,Hybrid,21%,Limonene,0%,0%,0%,0%
2132,Purple Paki Candy,Hybrid,17%,Caryophyllene,0%,0%,0%,0%
2133,Meraki Orange,Hybrid,22%,Myrcene,0%,0%,0%,0%
2134,Guido Kush,Indica,20%,Limonene,50%,0%,62%,37%
2135,OG Blossom,Hybrid,22%,Limonene,0%,0%,0%,0%
2136,Hawaiian Trinity,Hybrid,21%,Limonene,50%,75%,50%,100%
2137,Leia Kush,Hybrid,15%,Caryophyllene,100%,100%,100%,100%
2138,Red Kross,Hybrid,20%,Myrcene,100%,0%,0%,0%
2139,Lazy Train,Hybrid,18%,Caryophyllene,0%,0%,0%,0%
2140,Drizella,Sativa,20%,Terpinolene,0%,50%,0%,50%
2141,Dr. Quantum,Hybrid,21%,Limonene,100%,0%,0%,0%
2142,Chocolony,Hybrid,20%,Myrcene,0%,0%,0%,0%
2143,Somango Widow,Hybrid,19%,Limonene,0%,0%,0%,0%
2144,Miss Columbian,Hybrid,17%,Caryophyllene,0%,0%,0%,0%
2145,Calyx OG,Hybrid,20%,Limonene,0%,0%,0%,0%
2146,Moby Dick 2.0,Hybrid,21%,Myrcene,0%,0%,0%,0%
2147,Señor Jack,Hybrid,19%,Terpinolene,0%,0%,0%,0%
2148,Purple Linda,Indica,21%,Myrcene,100%,0%,0%,0%
2149,Chocoholic,Hybrid,17%,Myrcene,100%,100%,0%,100%
2150,Amnesia Flash,Hybrid,20%,Terpinolene,0%,0%,0%,0%
2151,Smelliot,Hybrid,19%,Myrcene,40%,60%,0%,60%
2152,Cherry Puff,Hybrid,15%,Myrcene,0%,0%,0%,0%
2153,Cheddarhead,Hybrid,14%,Limonene,0%,0%,0%,0%
2154,Snowdawg 2,Hybrid,13%,Myrcene,0%,0%,0%,0%
2155,Flight 813,Hybrid,16%,Terpinolene,0%,0%,0%,0%
2156,White Funk,Hybrid,24%,Myrcene,0%,0%,0%,0%
2157,Blue Persuasion,Hybrid,17%,Myrcene,57%,42%,42%,0%
2158,Hades Haze,Indica,16%,Myrcene,33%,33%,0%,0%
2159,DeDutch,Hybrid,21%,Terpinolene,0%,0%,0%,0%
2160,Al's Dream,Hybrid,19%,Myrcene,0%,0%,0%,0%
2161,Cindy Le Pew,Hybrid,13%,Caryophyllene,0%,0%,0%,0%
2162,BHŪ,Hybrid,16%,Myrcene,0%,0%,0%,0%
2163,Tarmonster,Hybrid,31%,Caryophyllene,0%,0%,0%,0%
2164,Space Poison,Hybrid,19%,Myrcene,0%,0%,0%,0%
2165,Cornerstone,Hybrid,19%,Pinene,0%,0%,0%,0%
2166,Lemon Puff,Hybrid,16%,Terpinolene,0%,0%,0%,0%
2167,Gnome Walker,Hybrid,22%,Caryophyllene,0%,0%,0%,0%
2168,Dirty Widow,Hybrid,21%,Limonene,33%,0%,0%,66%
2169,Jack Plant,Sativa,17%,Myrcene,0%,0%,0%,0%
2170,Critters Cookies,Hybrid,19%,Myrcene,100%,0%,100%,100%
2171,Royal Salute,Sativa,13%,Caryophyllene,0%,0%,0%,0%
2172,Flo Walker,Hybrid,16%,Myrcene,75%,75%,50%,0%
2173,Murkle,Indica,13%,Myrcene,50%,50%,0%,0%
2174,Huckleberry DesStar,Hybrid,19%,Myrcene,0%,0%,0%,0%
2175,Willie Cheesie,Hybrid,16%,Myrcene,0%,0%,0%,0%
2176,Willie’s Ghost,Hybrid,15%,Myrcene,100%,100%,100%,100%
2177,Grape Smuggler,Hybrid,16%,Caryophyllene,0%,0%,0%,0%
2178,Power Purps,Hybrid,22%,Myrcene,0%,0%,0%,0%
2179,Chem Kesey,Hybrid,24%,Caryophyllene,0%,0%,0%,0%
2180,Ganesh Berry,Hybrid,17%,Myrcene,62%,37%,75%,0%
2181,Sorcerer’s Apprentice,Hybrid,17%,Myrcene,100%,0%,0%,100%
2182,Hawaiian Thunder Fuck,Hybrid,19%,Terpinolene,42%,42%,50%,50%
2183,Khyber Kush,Hybrid,25%,Myrcene,0%,0%,0%,0%
2184,Blueberry Waltz,Indica,27%,Limonene,100%,50%,50%,100%
